round,strategy,display_name,role,policy,transition_variant,gate_mode,seed_index,transition_l1_error,off_support_leakage,reward_pct_oracle,top1_agreement,top2_agreement
1000,EXP4-based,EXP4,Baselines,exp4,dense,deterministic,8,0.0992432438338785,0.0273720217737735,98.37730101442452,0.689,0.83
1000,EXP4-based,EXP4,Baselines,exp4,dense,deterministic,9,0.1126922361798501,0.0341941796392355,94.14775296009886,0.651,0.883
1000,TM-TW,TM-TW,Baselines,tm_tw,dense,deterministic,0,0.115776652312624,0.0136356245064848,92.20274355155269,0.695,0.883
1000,TM-TW,TM-TW,Baselines,tm_tw,dense,deterministic,1,0.1094768448463516,0.0239508861367562,94.60016475759411,0.771,0.917
1000,TM-TW,TM-TW,Baselines,tm_tw,dense,deterministic,2,0.1018358659779045,0.0165096615597215,97.27742147822087,0.752,0.891
1000,TM-TW,TM-TW,Baselines,tm_tw,dense,deterministic,3,0.107822491574273,0.0140863590780524,96.76088199922955,0.779,0.871
1000,TM-TW,TM-TW,Baselines,tm_tw,dense,deterministic,4,0.1244160976684758,0.0162106524300504,96.6475690994397,0.837,0.947
1000,TM-TW,TM-TW,Baselines,tm_tw,dense,deterministic,5,0.1122597420143141,0.0197265765647377,93.25713192914506,0.684,0.878
1000,TM-TW,TM-TW,Baselines,tm_tw,dense,deterministic,6,0.1087005041590662,0.0162731571138528,96.75658232939485,0.791,0.89
1000,TM-TW,TM-TW,Baselines,tm_tw,dense,deterministic,7,0.1129922378998823,0.0148611753867136,93.9811534613912,0.57,0.761
1000,TM-TW,TM-TW,Baselines,tm_tw,dense,deterministic,8,0.1111508934185974,0.027902764345249,92.11384226087888,0.555,0.784
1000,TM-TW,TM-TW,Baselines,tm_tw,dense,deterministic,9,0.1278587100656652,0.0185306103995712,94.86879644846032,0.76,0.904
1000,Adp. TM-TW,Adaptive TM-TW,Refined TM-TW,tm_tw_refined,dense,deterministic,0,0.1183144976573636,0.0117116134118158,95.9365171379503,0.736,0.909
1000,Adp. TM-TW,Adaptive TM-TW,Refined TM-TW,tm_tw_refined,dense,deterministic,1,0.1188503603827435,0.0197710504989055,98.33032094951764,0.847,0.971
1000,Adp. TM-TW,Adaptive TM-TW,Refined TM-TW,tm_tw_refined,dense,deterministic,2,0.1015919490825729,0.0174374862319189,97.76293006857,0.696,0.849
1000,Adp. TM-TW,Adaptive TM-TW,Refined TM-TW,tm_tw_refined,dense,deterministic,3,0.1132967925683673,0.0190636345252084,97.92145434427616,0.785,0.894
1000,Adp. TM-TW,Adaptive TM-TW,Refined TM-TW,tm_tw_refined,dense,deterministic,4,0.106388034724324,0.0170228648059112,98.26534236179704,0.82,0.938
1000,Adp. TM-TW,Adaptive TM-TW,Refined TM-TW,tm_tw_refined,dense,deterministic,5,0.1118227925484408,0.0205931250985768,98.3917086960656,0.83,0.95
1000,Adp. TM-TW,Adaptive TM-TW,Refined TM-TW,tm_tw_refined,dense,deterministic,6,0.107490875655651,0.0290991635651765,97.1695207649737,0.708,0.82
1000,Adp. TM-TW,Adaptive TM-TW,Refined TM-TW,tm_tw_refined,dense,deterministic,7,0.1124517414436544,0.0213385616478752,98.67649249125024,0.766,0.917
1000,Adp. TM-TW,Adaptive TM-TW,Refined TM-TW,tm_tw_refined,dense,deterministic,8,0.1089118909503725,0.017922651524778,97.99460667656678,0.802,0.931
1000,Adp. TM-TW,Adaptive TM-TW,Refined TM-TW,tm_tw_refined,dense,deterministic,9,0.110047049678333,0.0186494618950538,97.17190574001188,0.799,0.941
