policy,seed,rounds,S,k,top_gap_lambda,transition_dominance,context_noise_level,transition_variant,trust_scale_mult,gate_scale_mult,gate_mode,beta_gate_concentration,trust_floor,trust_cap,support_mask_enabled,avg_reward,cum_reward,oracle_cum_reward,reward_pct_oracle,cum_regret,top1_agreement,top2_agreement,transition_l1_error,off_support_leakage,runtime_seconds,policy_label,experiment_id
tm_tw_refined,20262398,1000,8,2,0.0,0.45,0.0,dense,1.0,1.0,deterministic,20.0,0.1,0.95,False,53.85938259653607,53859.382596536074,54739.757353852874,98.3917086960656,880.3747573168002,0.83,0.95,0.11182279254844084,0.020593125098576855,4.637040791999993,tm_tw_refined_dense,context_noise_refinement
tw,20262074,1000,8,2,0.0,0.45,0.0,gated_offline,1.0,1.0,deterministic,20.0,0.1,0.95,False,52.609002812777604,52609.0028127776,54318.96704546502,96.85199420074359,1709.9642326874164,0.813,0.932,0.07139359761158302,0.012267026701173685,4.563140540999996,tw_gated_offline,context_noise_refinement
tm_tw,20262394,1000,8,2,0.0,0.45,0.0,gated_offline,1.0,1.0,deterministic,20.0,0.1,0.95,False,54.231212224611646,54231.21222461165,55611.44865873148,97.5180714270008,1380.2364341198336,0.835,0.943,0.07283325923905369,0.013060878251431766,4.666226834000042,tm_tw_gated_offline,context_noise_refinement
tm_tw_refined,20263222,1000,8,2,0.0,0.45,0.0,gated_offline,1.0,1.0,deterministic,20.0,0.1,0.95,False,51.82593871413043,51825.93871413043,53812.25030594237,96.30881150570914,1986.3115918119365,0.734,0.931,0.06684428738253254,0.01342164708387552,4.695716624999989,tm_tw_refined_gated_offline,context_noise_refinement
tw,20263030,1000,8,2,0.0,0.45,0.0,gated_offline_low_rank,1.0,1.0,deterministic,20.0,0.1,0.95,False,53.464128367214265,53464.12836721427,54844.46173050855,97.48318550362134,1380.3333632942813,0.768,0.924,0.0670188504237733,0.013664391438357027,5.118159542000001,tw_gated_offline_low_rank,context_noise_refinement
tm_tw,20263350,1000,8,2,0.0,0.45,0.0,gated_offline_low_rank,1.0,1.0,deterministic,20.0,0.1,0.95,False,50.83269595037528,50832.69595037528,55663.90295860554,91.32075411272727,4831.20700823026,0.623,0.853,0.07361899897989639,0.012086905393903375,5.117706791999979,tm_tw_gated_offline_low_rank,context_noise_refinement
tm_tw_refined,20264178,1000,8,2,0.0,0.45,0.0,gated_offline_low_rank,1.0,1.0,deterministic,20.0,0.1,0.95,False,52.81736871518122,52817.36871518122,53382.971983667056,98.94047999302308,565.6032684858365,0.72,0.892,0.06958239529531614,0.014071281692033878,5.137370207999993,tm_tw_refined_gated_offline_low_rank,context_noise_refinement
tw,20262354,1000,8,2,0.0,0.45,0.0,support_offline,1.0,1.0,deterministic,20.0,0.1,0.95,True,53.0134765107298,53013.4765107298,54518.66676615119,97.23912864216277,1505.1902554213884,0.774,0.908,0.05644646118078556,1.2857397357811585e-07,4.679593582999985,tw_support_offline,context_noise_refinement
tm_tw,20262674,1000,8,2,0.0,0.45,0.0,support_offline,1.0,1.0,deterministic,20.0,0.1,0.95,True,51.880334940034956,51880.334940034954,54695.52938043424,94.85297158234226,2815.194440399282,0.716,0.862,0.05678212877065811,1.3078719094833917e-07,4.916292583000029,tm_tw_support_offline,context_noise_refinement
tm_tw_refined,20263502,1000,8,2,0.0,0.45,0.0,support_offline,1.0,1.0,deterministic,20.0,0.1,0.95,True,54.31579247292596,54315.79247292596,55494.72581457028,97.87559389772714,1178.9333416443187,0.826,0.939,0.05566088427513595,1.104080573450884e-07,4.888243124999974,tm_tw_refined_support_offline,context_noise_refinement
oracle,20261646,1000,8,2,0.0,0.45,0.0,dense,1.0,1.0,deterministic,20.0,0.1,0.95,False,48.77829061368896,48778.29061368896,48778.29061368896,100.0,0.0,1.0,1.0,0.1136643232438338,0.021902516303691572,0.19628562500003,oracle,context_noise_refinement
state_thompson,20262544,1000,8,2,0.0,0.45,0.0,dense,1.0,1.0,deterministic,20.0,0.1,0.95,False,43.860453003149686,43860.45300314968,44318.44654808224,98.96658484083898,457.9935449325567,0.599,0.748,0.10781353677959654,0.030055439385853373,0.22269787499999438,state_thompson,context_noise_refinement
global_ucb_tw,20262380,1000,8,2,0.0,0.45,0.0,dense,1.0,1.0,deterministic,20.0,0.1,0.95,False,46.93850588340958,46938.50588340958,48665.85330065347,96.45059667078581,1727.3474172438873,0.754,0.876,0.11524503949391934,0.01832897063679874,4.778521917000035,global_ucb_tw_dense,context_noise_refinement
local_ucb_tw,20262278,1000,8,2,0.0,0.45,0.0,dense,1.0,1.0,deterministic,20.0,0.1,0.95,False,47.326210142083504,47326.2101420835,48529.331579914346,97.52083657725713,1203.1214378308432,0.769,0.87,0.11863247084616084,0.02704311208531866,4.722005874999979,local_ucb_tw_dense,context_noise_refinement
exp4,20261401,1000,8,2,0.0,0.45,0.0,dense,1.0,1.0,deterministic,20.0,0.1,0.95,False,45.09586694450774,45095.86694450774,45745.19289992764,98.58055914893535,649.325955419903,0.577,0.688,0.12544475513788952,0.03777629932927235,4.897693290999996,exp4_dense,context_noise_refinement
tw,20261251,1000,8,2,0.0,0.45,0.0,dense,1.0,1.0,deterministic,20.0,0.1,0.95,False,47.660438532138855,47660.438532138854,48886.56413727613,97.49189654299647,1226.1256051372766,0.803,0.91,0.11700465936214952,0.01593800349489543,4.679129375000002,tw_dense,context_noise_refinement
tm_tw,20261571,1000,8,2,0.0,0.45,0.0,dense,1.0,1.0,deterministic,20.0,0.1,0.95,False,46.225033620822245,46225.03362082224,47774.56221371617,96.75658232939485,1549.5285928939265,0.791,0.89,0.10870050415906625,0.01627315711385288,4.79609083400004,tm_tw_dense,context_noise_refinement
tm_tw_refined,20262399,1000,8,2,0.0,0.45,0.0,dense,1.0,1.0,deterministic,20.0,0.1,0.95,False,45.434043174967215,45434.04317496721,46757.50463446213,97.1695207649737,1323.4614594949162,0.708,0.82,0.10749087565565109,0.029099163565176514,4.666134916000033,tm_tw_refined_dense,context_noise_refinement
tw,20262075,1000,8,2,0.0,0.45,0.0,gated_offline,1.0,1.0,deterministic,20.0,0.1,0.95,False,47.449943862234974,47449.94386223498,48603.44057037096,97.62671799650504,1153.4967081359864,0.818,0.92,0.06893349432813659,0.014971490118298916,4.606008416000009,tw_gated_offline,context_noise_refinement
tm_tw,20262395,1000,8,2,0.0,0.45,0.0,gated_offline,1.0,1.0,deterministic,20.0,0.1,0.95,False,47.459483303822275,47459.48330382227,48852.67334852473,97.14818054118929,1393.19004470246,0.798,0.91,0.06999435247687671,0.014184474116451164,4.667351084000018,tm_tw_gated_offline,context_noise_refinement
tm_tw_refined,20263223,1000,8,2,0.0,0.45,0.0,gated_offline,1.0,1.0,deterministic,20.0,0.1,0.95,False,47.76630822454138,47766.30822454138,48011.37137038358,99.48957270153427,245.06314584219945,0.769,0.863,0.07366822358261345,0.015164477399829722,4.723454042000014,tm_tw_refined_gated_offline,context_noise_refinement
tw,20263031,1000,8,2,0.0,0.45,0.0,gated_offline_low_rank,1.0,1.0,deterministic,20.0,0.1,0.95,False,46.0261336740793,46026.1336740793,48846.30862205077,94.22643178670343,2820.174947971471,0.738,0.899,0.06493049881748485,0.012034374153521233,5.037404332999984,tw_gated_offline_low_rank,context_noise_refinement
tm_tw,20263351,1000,8,2,0.0,0.45,0.0,gated_offline_low_rank,1.0,1.0,deterministic,20.0,0.1,0.95,False,42.736717473590836,42736.717473590834,45686.514106528746,93.54339745409384,2949.7966329379124,0.563,0.656,0.0706355818263201,0.01992718883280329,5.108693792000054,tm_tw_gated_offline_low_rank,context_noise_refinement
tm_tw_refined,20264179,1000,8,2,0.0,0.45,0.0,gated_offline_low_rank,1.0,1.0,deterministic,20.0,0.1,0.95,False,47.530059370769784,47530.059370769784,48515.645117437605,97.96851975423165,985.5857466678208,0.7,0.803,0.0723917545511985,0.016296844881556326,5.177346624999984,tm_tw_refined_gated_offline_low_rank,context_noise_refinement
tw,20262355,1000,8,2,0.0,0.45,0.0,support_offline,1.0,1.0,deterministic,20.0,0.1,0.95,True,46.10796913703709,46107.969137037086,48641.42461893575,94.79156808883347,2533.4554818986653,0.707,0.816,0.05438577845192495,1.3182621742393088e-07,4.636668541999995,tw_support_offline,context_noise_refinement
tm_tw,20262675,1000,8,2,0.0,0.45,0.0,support_offline,1.0,1.0,deterministic,20.0,0.1,0.95,True,47.76432612896229,47764.32612896229,49118.07091264029,97.24389667891127,1353.7447836779975,0.76,0.845,0.04841225640989638,1.270897513482187e-07,4.706287750000001,tm_tw_support_offline,context_noise_refinement
tm_tw_refined,20263503,1000,8,2,0.0,0.45,0.0,support_offline,1.0,1.0,deterministic,20.0,0.1,0.95,True,47.07014664410389,47070.146644103894,48238.316839190535,97.57833549835308,1168.170195086641,0.806,0.897,0.05246914274289885,1.3151339739894667e-07,4.710525958999995,tm_tw_refined_support_offline,context_noise_refinement
oracle,20261647,1000,8,2,0.0,0.45,0.0,dense,1.0,1.0,deterministic,20.0,0.1,0.95,False,38.164483207056165,38164.48320705617,38164.48320705617,100.0,0.0,1.0,1.0,0.11388368025927927,0.031766490153627897,0.20252116699998624,oracle,context_noise_refinement
state_thompson,20262545,1000,8,2,0.0,0.45,0.0,dense,1.0,1.0,deterministic,20.0,0.1,0.95,False,38.670335284293465,38670.33528429346,38610.283941453315,100.1555319896927,-60.05134284014639,0.627,0.833,0.11324897456266154,0.03224820346905575,0.21310154200000397,state_thompson,context_noise_refinement
global_ucb_tw,20262381,1000,8,2,0.0,0.45,0.0,dense,1.0,1.0,deterministic,20.0,0.1,0.95,False,37.12809616278098,37128.096162780974,39221.67367651999,94.66219230977812,2093.5775137390156,0.7,0.888,0.10714676004100804,0.018299281206114973,4.6211838750000425,global_ucb_tw_dense,context_noise_refinement
