policy,seed,rounds,S,k,top_gap_lambda,transition_dominance,context_noise_level,transition_variant,trust_scale_mult,gate_scale_mult,gate_mode,beta_gate_concentration,trust_floor,trust_cap,support_mask_enabled,avg_reward,cum_reward,oracle_cum_reward,reward_pct_oracle,cum_regret,top1_agreement,top2_agreement,transition_l1_error,off_support_leakage,runtime_seconds,policy_label,experiment_id
tm_tw_refined,20263218,100,20,2,0.0,0.45,0.2,gated_offline,1.0,1.0,deterministic,20.0,0.1,0.95,False,8565.352113604436,856535.2113604436,960394.2379203942,89.18579241116197,103859.02655995055,0.62,0.82,0.1927738940590229,0.02575425014957438,0.5909105839999995,tm_tw_refined_gated_offline,context_noise_refinement
tw,20263026,100,20,2,0.0,0.45,0.2,gated_offline_low_rank,1.0,1.0,deterministic,20.0,0.1,0.95,False,6020.873689546621,602087.3689546621,877509.5764695462,68.61319637980696,275422.20751488407,0.46,0.72,0.19017637778210938,0.025207585505408588,0.7119328329999917,tw_gated_offline_low_rank,context_noise_refinement
tm_tw,20263346,100,20,2,0.0,0.45,0.2,gated_offline_low_rank,1.0,1.0,deterministic,20.0,0.1,0.95,False,7134.921452540022,713492.1452540022,991978.6708338766,71.92615791368043,278486.5255798744,0.53,0.75,0.19207580873334792,0.02514313999161187,0.7222940000000051,tm_tw_gated_offline_low_rank,context_noise_refinement
tm_tw_refined,20264174,100,20,2,0.0,0.45,0.2,gated_offline_low_rank,1.0,1.0,deterministic,20.0,0.1,0.95,False,7627.797735791188,762779.7735791188,960292.621834748,79.43201439179461,197512.8482556292,0.58,0.72,0.19075390240541082,0.025898863549840813,0.7219673749999913,tm_tw_refined_gated_offline_low_rank,context_noise_refinement
tw,20262350,100,20,2,0.0,0.45,0.2,support_offline,1.0,1.0,deterministic,20.0,0.1,0.95,True,7069.727609277611,706972.7609277611,1020170.8680155863,69.2994461117037,313198.1070878252,0.55,0.77,0.09649109384418472,0.0067288424838075605,0.5789580000000001,tw_support_offline,context_noise_refinement
tm_tw,20262670,100,20,2,0.0,0.45,0.2,support_offline,1.0,1.0,deterministic,20.0,0.1,0.95,True,4913.296151335493,491329.6151335493,1004917.2394286991,48.89254516251238,513587.6242951498,0.38,0.55,0.11308162489923887,0.00843950893346185,0.5881013339999868,tm_tw_support_offline,context_noise_refinement
tm_tw_refined,20263498,100,20,2,0.0,0.45,0.2,support_offline,1.0,1.0,deterministic,20.0,0.1,0.95,True,7539.778526567783,753977.8526567783,947044.6427139441,79.61376039212949,193066.79005716578,0.62,0.88,0.09517828905341512,0.007293652500427619,0.5907799160000025,tm_tw_refined_support_offline,context_noise_refinement
oracle,20261642,100,20,2,0.0,0.45,0.2,dense,1.0,1.0,deterministic,20.0,0.1,0.95,False,14671.677083112983,1467167.7083112984,1622893.6249461153,90.40442859340288,155725.9166348169,0.87,0.96,0.26049407529024843,0.03473233301015041,0.022025624999997717,oracle,context_noise_refinement
state_thompson,20262540,100,20,2,0.0,0.45,0.2,dense,1.0,1.0,deterministic,20.0,0.1,0.95,False,6612.3625631931645,661236.2563193165,1201815.1851362628,55.01979543088773,540578.9288169463,0.15,0.35,0.267647266270057,0.033539078372887214,0.024132374999993544,state_thompson,context_noise_refinement
global_ucb_tw,20262376,100,20,2,0.0,0.45,0.2,dense,1.0,1.0,deterministic,20.0,0.1,0.95,False,9640.858082403256,964085.8082403255,1497354.3249237144,64.38595008495686,533268.5166833889,0.49,0.68,0.27307669509726384,0.03484754760218384,0.5892740410000101,global_ucb_tw_dense,context_noise_refinement
local_ucb_tw,20262274,100,20,2,0.0,0.45,0.2,dense,1.0,1.0,deterministic,20.0,0.1,0.95,False,9801.436082578437,980143.6082578436,1197119.1942586305,81.87518945135963,216975.58600078686,0.39,0.6,0.26645966284792966,0.03454300957403668,0.5885101670000097,local_ucb_tw_dense,context_noise_refinement
exp4,20261397,100,20,2,0.0,0.45,0.2,dense,1.0,1.0,deterministic,20.0,0.1,0.95,False,8141.294407960481,814129.4407960481,1105261.866471401,73.65941642365657,291132.4256753528,0.47,0.69,0.2695435118333589,0.0359776849398818,0.5950574169999925,exp4_dense,context_noise_refinement
tw,20261247,100,20,2,0.0,0.45,0.2,dense,1.0,1.0,deterministic,20.0,0.1,0.95,False,10248.432775655463,1024843.2775655463,1284735.242963427,79.77077636646736,259891.96539788065,0.5,0.62,0.26785162930352857,0.03461711727011299,0.5803300000000036,tw_dense,context_noise_refinement
tm_tw,20261567,100,20,2,0.0,0.45,0.2,dense,1.0,1.0,deterministic,20.0,0.1,0.95,False,8431.278172674198,843127.8172674198,1209615.0735249757,69.70215862228267,366487.2562575559,0.53,0.68,0.2648982861345498,0.03353932436243421,0.5933903339999915,tm_tw_dense,context_noise_refinement
