S,context_noise_level,trust_scale_mult,gate_scale_mult,gate_mode,trust_floor,policy_label,n,mean_reward_pct_oracle,mean_transition_l1_error,mean_off_support_leakage,mean_top1_agreement,mean_top2_agreement,mean_cum_regret
20,0.1,1.0,1.0,deterministic,0.1,tm_tw_support_offline,3,61.895531703752056,0.09131896243820344,0.0036964756532289166,0.4366666666666667,0.6666666666666666,404996.7172057946
20,0.1,1.0,1.0,deterministic,0.1,tw_dense,3,66.11775059149454,0.25263849969856533,0.030797146967261088,0.42,0.6266666666666666,363755.53661378456
20,0.1,1.0,1.0,deterministic,0.1,tw_gated_offline,3,44.41932817459775,0.17090849210262823,0.021884358466138797,0.32,0.58,576829.3927678607
20,0.1,1.0,1.0,deterministic,0.1,tw_gated_offline_low_rank,3,51.57368420005681,0.1713301537491517,0.021676908433800327,0.32,0.5233333333333333,482885.7902352389
20,0.1,1.0,1.0,deterministic,0.1,tw_support_offline,3,69.80823372992661,0.09479600486462982,0.0034029083827273134,0.49333333333333335,0.7266666666666667,312895.99563543306
20,0.2,1.0,1.0,deterministic,0.1,exp4_dense,3,68.77805199572474,0.2728985170966946,0.03604055396708749,0.48666666666666664,0.6866666666666666,316177.64395053656
20,0.2,1.0,1.0,deterministic,0.1,global_ucb_tw_dense,3,56.55993657023705,0.27238325245832024,0.034911938447245154,0.37666666666666665,0.5966666666666667,464136.89600279526
20,0.2,1.0,1.0,deterministic,0.1,local_ucb_tw_dense,3,68.10188827362799,0.26983317367509235,0.0348443095447375,0.42333333333333334,0.65,340720.27929049893
20,0.2,1.0,1.0,deterministic,0.1,oracle,3,91.73458592497565,0.26646561011317943,0.03490822908797231,0.8566666666666668,0.9533333333333333,105670.3131010388
20,0.2,1.0,1.0,deterministic,0.1,state_thompson,3,48.45296176751554,0.26876821799430756,0.034338855061037656,0.24333333333333337,0.48,544721.355255872
20,0.2,1.0,1.0,deterministic,0.1,tm_tw_dense,3,68.18494229687697,0.26276419042737237,0.03329379094250706,0.47333333333333333,0.6733333333333333,333102.89551832125
20,0.2,1.0,1.0,deterministic,0.1,tm_tw_gated_offline,3,60.36393907621016,0.19412619198987036,0.025795748746054347,0.49666666666666665,0.71,425378.1673480435
20,0.2,1.0,1.0,deterministic,0.1,tm_tw_gated_offline_low_rank,3,58.55617422753421,0.19061167022636819,0.0249269300267483,0.47333333333333333,0.6833333333333332,500170.13599117805
